id,name,group,db_field,cumulative,unit
inv-2,E_Total,Inverter,payload.d.inv.2,,
inv-3,E_year,Inverter,payload.d.inv.3,,
inv-4,Current power,Inverter,payload.d.inv.4,,
pf-1,Site_P_Grid,Powerflow,payload.d.pf.1,,
pf-2,Site_P_Load,Powerflow,payload.d.pf.2,,
pf-3,Site_P_PV,Powerflow,payload.d.pf.3,,
pf-4,Site_P_Akku,Powerflow,payload.d.pf.4,,
pf-5,Site_Battery Standby,Powerflow,payload.d.pf.5,,
pf-6,Site_E_Day,Powerflow,payload.d.pf.6,,
pf-7,Site_E_Total,Powerflow,payload.d.pf.7,,
pf-8,Site_E_Year,Powerflow,payload.d.pf.8,,
pf-9,Inv_DT,Powerflow,payload.d.pf.9,,
pf-10,Inv_E_day,Powerflow,payload.d.pf.10,,
pf-11,Inv_E_Total,Powerflow,payload.d.pf.11,,
pf-12,Inv_E_Year,Powerflow,payload.d.pf.12,,
pf-13,Inv_P,Powerflow,payload.d.pf.13,,
pf-14,Inv_SOC,Powerflow,payload.d.pf.14,,
inv-1,E_Day,Inverter,payload.d.inv.1,,
inv-2,E_Total,Inverter,payload.d.inv.2,,
inv-3,E_year,Inverter,payload.d.inv.3,,
inv-4,Current power,Inverter,payload.d.inv.4,,
pf-1,Site_P_Grid,Powerflow,payload.d.pf.1,,
pf-2,Site_P_Load,Powerflow,payload.d.pf.2,,
pf-3,Site_P_PV,Powerflow,payload.d.pf.3,,
pf-4,Site_P_Akku,Powerflow,payload.d.pf.4,,
pf-5,Site_Battery Standby,Powerflow,payload.d.pf.5,,
pf-6,Site_E_Day,Powerflow,payload.d.pf.6,,
pf-7,Site_E_Total,Powerflow,payload.d.pf.7,,
pf-8,Site_E_Year,Powerflow,payload.d.pf.8,,
pf-9,Inv_DT,Powerflow,payload.d.pf.9,,
pf-10,Inv_E_day,Powerflow,payload.d.pf.10,,
pf-11,Inv_E_Total,Powerflow,payload.d.pf.11,,
pf-12,Inv_E_Year,Powerflow,payload.d.pf.12,,
pf-13,Inv_P,Powerflow,payload.d.pf.13,,
pf-14,Inv_SOC,Powerflow,payload.d.pf.14,,
