x,y,label
2024-01-28 05:14:11,20.759,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:19:11,20.439,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:24:12,20.725,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:29:12,20.54,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:34:12,20.557,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:39:12,20.507,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:49:14,20.271,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:54:14,20.692,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:59:15,20.557,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 06:04:15,20.322,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 09:39:04,20.793,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 09:49:20,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 09:54:20,20.725,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 10:29:53,20.524,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 10:34:53,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 10:39:53,20.625,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 10:44:53,20.406,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 11:41:06,20.339,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 11:46:06,20.675,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 12:06:17,20.355,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 12:37:01,20.406,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 12:57:07,20.372,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 13:27:19,20.591,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 15:14:04,20.288,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 15:59:40,20.423,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 16:15:00,20.709,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 16:20:01,20.675,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 17:56:50,20.759,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 18:01:51,20.439,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 18:16:57,21.011,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 18:52:21,20.944,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 19:07:25,20.927,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 19:17:40,21.045,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 20:08:38,20.81,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 20:13:39,20.574,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 20:23:43,20.81,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 22:15:22,20.877,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 22:25:37,20.742,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 22:35:53,20.877,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 22:40:53,20.776,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 22:50:57,20.709,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 23:16:01,20.641,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 01:20:48,20.456,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 01:25:49,20.524,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:07:05,20.574,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:12:05,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:17:06,20.372,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:22:06,20.524,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:27:06,20.339,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:32:07,20.591,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:37:07,20.355,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 02:42:07,20.473,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 05:56:40,20.322,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 06:47:32,20.271,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 06:52:33,20.137,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 06:57:33,20.473,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 07:23:04,21.045,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 07:28:04,20.944,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 07:33:04,20.793,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 07:38:05,20.759,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 07:43:05,20.658,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 07:58:23,20.776,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 08:54:16,20.675,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 08:59:16,20.742,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-29 09:24:48,20.608,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
